gene-id	gene-symbol	# diseases	# genes
131177	FAM3D	1	552
80871	ANMA	1	0
406985	MIR200C	1	198
10999	SLC27A4	2	3
4299	AFF1	3	656
224	ALDH3A2	1	0
146862	UNC45B	3	215
9043	SPAG9	2	337
23421	ITGB3BP	1	1272
3222	HOXC5	1	73
51082	POLR1D	5	229
1435	CSF1	26	3371
279	AMY2A	1	64
54496	PRMT7	2	464
4145	MATK	3	1545
2055	CLN8	3	17
79646	PANK3	2	464
1487	CTBP1	6	2042
50508	NOX3	2	501
114609	TIRAP	16	1664
1540	CYLD	11	1851
3075	CFH	27	1968
128178	EDARADD	2	3
2064	ERBB2	68	4554
51214	IGF2-AS1	2	1397
260328	ALRH	1	3
5424	POLD1	1	448
6295	SAG	6	155
375298	CERKL	5	138
59081	MNG2	1	3
100415904	HWE2	1	0
23411	SIRT1	15	3350
285195	SLC9A9	3	531
3852	KRT5	18	2307
6556	SLC11A1	31	1976
4558	TRNF	1	12
114897	C1QTNF1	1	422
259307	IL4I1	1	134
10971	YWHAQ	7	1138
80770	CCPSO	1	0
4536	ND2	5	614
26191	PTPN22	43	2204
3361	HTR5A	4	783
57602	USP36	1	476
3593	IL12B	48	3077
9148	NEURL	1	719
10863	ADAM28	1	974
7260	TSSC1	1	125
1409	CRYAA	6	49
317714	DYT15	1	0
1716	DGUOK	1	4
51530	ZC3HC1	1	300
84433	CARD11	2	369
1663	DDX11	1	0
5716	PSMD10	4	1815
635	BHMT	5	185
5373	PMM2	3	38
140885	SIRPA	6	1760
120406	FAM55B	2	324
3950	LECT2	2	108
26330	GAPDHS	2	495
3603	IL16	16	2140
310	ANXA7	2	1494
192	AIC	1	0
8458	TTF2	3	98
26039	SS18L1	1	29
63923	TNN	3	2159
64499	TPSB2	1	6
10381	TUBB3	6	1948
4320	MMP11	8	2722
57188	ADAMTSL3	1	719
3764	KCNJ8	3	37
7753	ZNF202	3	449
4553	TRNA	1	9
8038	ADAM12	11	2531
10457	GPNMB	8	2525
1437	CSF2	44	3355
6189	RPS3A	2	1032
2517	FUCA1	2	137
7547	ZIC3	3	44
1740	DLG2	1	195
1600	DAB1	3	265
79133	C20orf7	2	32
406874	DYX8	2	11
22802	CLCA4	1	90
9882	TBC1D4	2	263
8009	LALL	2	193
11197	WIF1	13	2543
90	ACVR1	5	419
139189	DGKK	2	85
3514	IGKC	5	104
8722	CTSF	1	1168
51380	CSAD	1	109
25942	SIN3A	1	671
100312950	SCA31	1	34
4683	NBN	29	3829
8554	PIAS1	2	93
7986	GPDS1	1	2
25797	QPCT	3	1007
55770	EXOC2	1	96
4117	MAK	2	1064
55872	PBK	3	764
23526	HMHA1	5	1728
11218	DDX20	1	14
7145	TNS1	1	163
26503	SLC17A5	4	592
338377	CRAC1	2	719
3340	NDST1	5	175
6498	SKIL	7	1491
11190	CEP250	1	299
643714	LOC643714	2	1272
199	AIF1	8	1911
780915	CHNG3	1	0
100529230	LGMD1H	1	0
7764	ZNF217	2	1468
